ㅃㅏㄹㄹㅐ	BB A L L E
ㅇㅓㅁㅓㄴㅣ	EO M EO N I
ㅇㅣㄹㅇㅣㄹㅏㅁㅕㄴ	I R I R A M iEO N
ㅂㅏㄹ	B A L
ㅈㅏㄹㅣ	J A R I
ㅇㅣㄸㅏ	I DD A
ㅇㅖㅅㄴㅏㄹ	iE N N A L
ㅇㅣㄹㅂㅗㄴ	I L B O N
ㅁㅓㄱㄷㅓㄴ	M EO k DD EO N
ㄸㅟㄴㄷㅏ	DD UI N D A
ㅇㅕㄹㅓㅂㅜㄴㄱㅘ	iEO R EO B U N G oA
ㅅㅏㄹㅓ	S A R EO
ㅇㅗㄹㅐㄷㅚㄴ	O R E D OE N
ㅅㅐㄱㄲㅏㄹㅇㅡㄹ	S E k GG A R EU L
ㅇㅜㄹㅣㄴㅏㄹㅏ	U R I N A R A
ㅈㅓㄴㅎㅘㅎㅏㄹㄱㅔ	J EO N oA A L G E
ㅇㅘㅆㅇㅓㅇㅛ	oA SS EO iO
ㅇㅣㅆㅇㅓㅆㅇㅓㅇㅛ	I SS EO SS EO iO
ㅇㅠㅊㅣㅇㅝㄴ	iU CHh I uEO N
ㅁㅏㄴㄷㅡㄴㅡㄴ	M A N D EU N EU N
ㅇㅣㄱㅔ	I G E
ㅁㅏㄹㅎㅐ	M A R H E
ㅇㅣㄹㄱㅗㅂ	I L G O p
ㅁㅓㄱㅇㅓㅆㅇㅓㅇㅛ	M EO G EO SS EO iO
ㅂㅏㅂ	B A p
ㅁㅗㅅㅎㅏㄱㅔㅆㅅㅡㅂㄴㅣㄷㅏ	M O Th A G E S SS EU M N I D A
ㅁㅗㄹㄹㅏㅆㄴㅡㄴㄷㅔ	M O L L A N N EU N D E
ㅂㅕㄹㅇㅣㄹ	B iEO R I N
ㅁㅜㅅㅡㄴ	M U S EU N
ㅂㅐㄱㅈㅓㅁ	B E k JJ EO M
ㅁㅝㄴㅈㅣ	M uEO N J I
ㅂㅗㅈㅏㄱㅣ	B O J A G I
ㅂㅏㅃㅡㄷㅏ	B A BB EU D A
ㅇㅣㅆㅅㅡㅂㄴㅣㄷㅏ	I S SS EU M N I D A
ㅂㅏㅇㅅㅗㅇ	B A NG S O NG
ㅈㅓㅎㅢ	J EO euI
ㅈㅓㄹㅓㅎㄱㅔ	J EO R EO Kh E
ㅂㅗㅁ	B O M
